DE_ICRS,petroMag_r,rPrad,rdVrad,rdVell,umag,gmag,rmag,imag,zmag,<zph>,u_r,expAB_r
1.263427,21.178,2.756,4.108,0.05,22.638,21.85,21.028,20.831,20.369,0.3546,1.61,0.95
1.240343,19.935,11.309,10.064,0.55,22.456,20.491,19.973,19.783,20.907,0.1217,2.48,0.44999999999999996
1.238684,19.832,2.021,1.026,0.936,24.427,20.894,19.832,19.301,19.011,0.2409,4.59,0.06399999999999995
1.254685,21.725,1.726,0.717,0.134,24.152,22.539,21.506,21.422,21.597,0.3004,2.65,0.866
1.248233,21.904,1.741,0.605,0.05,24.928,23.09,21.815,21.378,20.6,0.4264,3.11,0.95
1.249425,21.946,1.542,0.478,0.323,24.222,22.562,21.873,21.653,21.687,0.239,2.35,0.677
1.270803,20.164,2.165,1.126,0.584,22.06,21.264,20.097,19.505,19.252,0.4423,1.96,0.41600000000000004
1.268176,21.205,1.457,0.571,0.156,21.967,21.385,21.132,20.61,20.415,0.6591,0.83,0.844
1.260699,21.569,1.997,0.88,0.71,22.48,22.44,21.604,21.365,20.822,0.4314,0.88,0.29000000000000004
1.26784,21.208,2.954,2.122,0.219,23.225,22.127,21.35,21.274,23.626,0.1532,1.88,0.781
1.26175,21.545,2.971,2.759,0.361,22.718,21.765,21.365,20.88,20.481,0.4962,1.35,0.639
1.267262,20.604,2.366,1.783,0.107,23.265,22.168,20.569,20.041,19.535,0.3895,2.7,0.893
1.270141,19.933,2.223,0.992,0.65,23.752,21.368,19.786,19.234,18.967,0.3251,3.97,0.35
1.278721,18.778,3.187,1.262,0.807,21.78,20.025,18.701,18.194,17.886,0.2292,3.08,0.19299999999999995
1.3024,20.318,4.431,0.388,0.382,21.532,20.889,20.493,20.338,20.606,0.1995,1.04,0.618
1.275725,21.581,2.622,1.69,0.489,22.243,22.245,21.49,21.225,21.821,0.2275,0.75,0.511
1.284336,20.119,4.053,3.623,0.659,23.109,20.735,20.095,19.806,19.852,0.1484,3.01,0.34099999999999997
1.285954,21.871,1.522,0.353,1.0,23.849,22.129,21.869,21.3,22.072,0.2096,1.98,0.0
1.275181,20.08,1.668,0.519,0.212,22.139,21.317,20.007,19.578,19.298,0.3638,2.13,0.788
1.294985,21.366,2.27,1.169,0.382,25.992,22.64,21.28,20.771,19.899,0.4493,4.71,0.618
1.246669,18.917,2.32,0.792,0.887,21.76,20.13,18.865,18.366,18.015,0.2294,2.9,0.11299999999999999
