objID,ra,dec,modelMag_r,modelMag_u,modelMag_g,expAB_r,expRad_r,lnLExp_r,lnLDeV_r,type,clean,mode,u_r,g_r
1237651736280826102,150.190268542391,2.02317449856961,21.16751,21.91095,21.41367,0.2205812,0.9577727,-0.09775319,-0.1075497,3,1,1,0.7434399999999997,0.2461599999999997
1237651736280761092,150.144529945517,2.04698228129569,21.51022,25.39119,23.19789,0.4999633,0.7658601,-0.7769951,-0.8123621,3,1,1,3.8809700000000014,1.6876700000000007
1237651736280761090,150.144756987639,2.01587772204436,20.79559,23.33009,22.81675,0.5597138,0.593529,-0.1400508,-0.155343,3,1,1,2.5344999999999978,2.0211599999999983
1237651736280761089,150.143829403359,2.05007396250072,21.25493,22.77146,22.4779,0.2967445,1.266004,-0.4401531,-0.5219885,3,1,1,1.5165299999999995,1.2229700000000001
1237651736280760945,150.038002669877,1.94629297444959,21.12557,23.52852,22.61696,0.7790455,1.417044,-0.231988,-0.3199607,3,1,1,2.4029500000000006,1.491389999999999
1237651736280760829,150.144501012644,2.03827751827404,21.73657,23.87734,22.66892,0.8496558,0.3651827,-0.005664997,-0.005878368,3,1,1,2.14077,0.9323499999999996
1237651736280760771,150.116299163076,1.99406636748185,20.42801,25.79237,22.14657,0.8683626,0.5444119,-0.003263327,-0.02148127,3,1,1,5.364359999999998,1.71856
1237651753460564368,150.490515110392,1.76667611325753,21.79925,25.6741,22.19878,0.3158853,0.7723449,-0.00950602,-0.02454159,3,1,1,3.8748499999999986,0.3995299999999986
1237651753460236676,149.744655224531,1.83191684204296,22.25606,23.38329,24.60924,0.4986698,0.7327183,-8.486046e-05,-0.000200454,3,1,1,1.1272299999999973,2.3531799999999983
1237651753460564450,150.535757659262,1.79352513645251,21.50884,23.93319,22.50862,0.2352798,0.4230167,-0.1818667,-0.2061497,3,1,1,2.4243500000000004,0.9997800000000012
1237651753460564502,150.559794750314,1.679480253297,20.10688,22.54391,21.19818,0.6098267,1.973557,-0.8087525,-3.632883,3,1,1,2.43703,1.0913000000000004
1237651753460236598,149.721262809107,1.6924030000352,21.03058,24.99052,23.44521,0.5647339,1.380741,-0.04053837,-0.07484508,3,1,1,3.9599399999999996,2.414629999999999
1237651753460236539,149.743480544352,1.74126933614562,19.55786,21.32397,20.38407,0.5151808,1.572914,-0.4112675,-3.453852,3,1,1,1.7661099999999976,0.8262099999999997
1237651753460236312,149.745281871285,1.63255039772171,20.88741,24.63467,22.93035,0.3734688,0.5701184,-5.284662e-14,-2.641547e-08,3,1,1,3.7472600000000007,2.0429400000000015
1237651753460236308,149.745207840179,1.63136098000555,20.45352,24.63466,25.11438,0.5351624,0.3276126,-0.01779252,-0.1303254,3,1,1,4.181139999999999,4.66086
1237651753460171537,149.704570053609,1.69406286613349,21.21778,23.0124,22.50602,0.2835171,1.381067,-0.3550178,-0.4384438,3,1,1,1.7946199999999983,1.2882399999999983
1237651753460171535,149.704539227882,1.62177621958848,22.08599,22.81838,23.20908,0.2251495,0.5882125,-1.410359,-1.441228,3,1,1,0.7323900000000023,1.1230900000000013
1237651753460171469,149.627135208117,1.77927261010077,22.14143,25.11228,23.25092,0.2316944,0.7753642,-0.2846583,-0.2871958,3,1,1,2.9708499999999987,1.109490000000001
1237651753460171308,149.68350532634,1.7805722622624,20.48263,22.50787,21.73961,0.6145911,0.6726567,-0.2749061,-0.314726,3,1,1,2.02524,1.2569799999999987
1237651753460171307,149.682871743169,1.78652658073913,21.35857,22.3563,21.98971,0.3739917,1.666527,-0.2092653,-0.3471247,3,1,1,0.9977300000000007,0.6311399999999985
1237651753460171274,149.666033970968,1.83064887172251,21.19683,22.15057,21.88083,0.2281559,0.4871433,-0.2586894,-0.2662993,3,1,1,0.9537399999999998,0.684000000000001
1237651753460171273,149.667258120603,1.75130986962597,21.26252,22.83094,21.90451,0.2134432,0.9120492,-0.1241879,-0.1497443,3,1,1,1.5684199999999997,0.6419899999999998
1237651753460171270,149.666569753416,1.69864412360079,20.73254,23.7861,21.72724,0.8757913,0.9992859,-0.9071884,-1.926717,3,1,1,3.053560000000001,0.9946999999999981
1237651753460171259,149.665620284937,1.63184102759686,20.82321,22.98571,21.69746,0.6742969,0.7549077,-0.00958875,-0.01818642,3,1,1,2.1625000000000014,0.87425
1237651753460171192,149.625516579147,1.75932767897978,20.13919,21.92498,21.16084,0.6001888,1.20512,-1.625602,-4.276086,3,1,1,1.7857900000000022,1.021650000000001
1237651753460171137,149.606242546715,1.76534431900471,21.91315,22.65347,22.63383,0.2048942,1.054296,-0.3383075,-0.3975843,3,1,1,0.740319999999997,0.720679999999998
1237651753460171108,149.586669960628,1.66544190362724,21.87596,24.2836,22.64123,0.3298329,0.5882288,-0.02121983,-0.03252956,3,1,1,2.4076400000000007,0.765270000000001
1237651753460630353,150.715239232913,1.81815056334729,21.51859,22.86082,22.96253,0.7151357,0.9126306,-0.009291146,-0.04429441,3,1,1,1.3422300000000007,1.4439400000000013
1237651753460106127,149.539828947215,1.67863540462204,22.00116,23.33289,23.13288,0.5182375,0.4688962,-0.0152553,-0.01970356,3,1,1,1.3317300000000003,1.1317200000000014
1237651736280760769,150.116983700537,1.90512643663678,19.70085,22.89731,21.50559,0.5627785,0.9858835,-3.257816,-3.284431,3,1,1,3.196460000000002,1.8047400000000025
1237651736280760768,150.115337526275,1.93997471020781,21.08005,23.03447,22.06567,0.9940455,1.136605,-0.1736704,-0.4259667,3,1,1,1.954419999999999,0.9856200000000008
1237651736280760722,150.095437351666,2.02258914603209,21.38021,24.92958,22.57871,0.4192115,1.053604,-0.447,-0.4722289,3,1,1,3.5493699999999997,1.1984999999999992
1237651736280760720,150.093832745405,2.01279231190415,21.43564,23.44613,22.67324,0.5998473,0.5979661,-0.1041515,-0.1381941,3,1,1,2.0104900000000008,1.2376000000000005
1237651736280760718,150.094124835734,1.97186536631692,21.7911,24.40305,22.6493,0.3059979,0.6198081,-0.008994266,-0.02061926,3,1,1,2.61195,0.8582000000000001
1237651736280760717,150.094774213584,1.97018654529603,20.577,23.83621,22.10963,0.2424237,1.053452,-0.6367919,-0.7265025,3,1,1,3.2592099999999995,1.5326299999999975
1237651736280760642,150.062121957014,1.94723761685081,21.33566,24.41087,22.77257,0.2072853,0.3916555,-0.2834747,-0.2922711,3,1,1,3.0752099999999984,1.436910000000001
1237651736280760639,150.059926144551,1.86654770189279,20.19627,21.69148,21.00484,0.4151243,1.913802,-1.003789,-1.0169,3,1,1,1.4952100000000002,0.8085700000000031
1237651736280760617,150.039106894201,1.89574425885801,20.76646,22.13347,22.12407,0.6670849,1.76404,-0.09939466,-0.3797161,3,1,1,1.3670100000000005,1.357610000000001
1237651736280695490,150.024391816707,2.04183512948711,21.15725,22.49574,22.44188,0.463071,0.5242121,-0.0292729,-0.04275443,3,1,1,1.3384900000000002,1.28463
