SequentialID,ra,dec,ACS_MAG_AUTO,b_a,Re_arcsec,ELL_GIM2D,TYPE,STELLARITY
1168.0,150.7062073,2.828629,21.8217545,0.31286,0.606,0.68714,2.0,0.0
1169.0,150.7052155,2.8230269,22.2113438,0.8286,0.435,0.1714,2.0,0.0
1173.0,150.7036285,2.8053269,21.8649044,0.5829,0.6075,0.4171,3.0,0.0
1182.0,150.7015686,2.7839029,21.8861523,0.71652,0.4165,0.28348,3.0,0.0
1187.0,150.7090759,2.8066609,19.3563023,0.59834,0.854,0.40166,2.0,0.0
1194.0,150.7131195,2.8213689,22.3754616,0.63642,0.3125,0.36358,2.0,0.0
1195.0,150.7104034,2.799222,22.2241421,0.20540999999999998,0.7905,0.79459,2.0,0.0
1200.0,150.7152863,2.820776,21.032299,0.68518,0.699,0.31482,2.0,0.0
1208.0,150.7141418,2.8034639,21.203022,0.7536499999999999,0.4095,0.24635,2.0,0.0
1210.0,150.7115936,2.788063,21.0420399,0.52374,0.1395,0.47626,2.0,0.0
1213.0,150.718689,2.826329,20.9717369,0.41491999999999996,0.7815,0.58508,2.0,0.0
1216.0,150.7150421,2.800431,21.6775246,0.74959,0.2845,0.25041,2.0,0.0
1217.0,150.7187958,2.8216741,21.8904209,0.41773000000000005,0.7035,0.58227,2.0,0.0
1218.0,150.7157135,2.799706,21.531599,0.35287,0.9535,0.64713,2.0,0.0
1221.0,150.7198334,2.8211579,22.1801395,0.89609,0.4145,0.10391,3.0,0.0
1222.0,150.7141876,2.788707,22.3500748,0.68789,0.2125,0.31211,2.0,0.0
1223.0,150.7139893,2.7865191,22.743475,0.68104,0.0855,0.31896,2.0,0.0
1224.0,150.7140961,2.786382,21.7348671,0.17945999999999995,0.819,0.82054,2.0,0.0
1225.0,150.7203369,2.820682,21.907835,0.27918,0.6765,0.72082,2.0,0.0
1226.0,150.7138672,2.7818589,21.3310223,0.5690299999999999,0.891,0.43097,2.0,0.0
1228.0,150.7225494,2.829427,21.7154636,0.78468,0.277,0.21532,3.0,0.0
1229.0,150.7210388,2.8187439,21.7599506,0.37915,0.5315,0.62085,2.0,0.0
1230.0,150.7147675,2.783191,22.4923115,0.53084,0.2095,0.46916,2.0,0.0
1240.0,150.7181396,2.784514,22.2993889,0.39493999999999996,0.619,0.60506,2.0,0.0
1244.0,150.7229614,2.8091061,21.2928505,0.41735999999999995,0.4455,0.58264,2.0,0.0
1247.0,150.7187958,2.782491,19.8460312,0.28847,0.8795,0.71153,2.0,0.0
1248.0,150.7250671,2.8151059,21.9468575,0.6564,0.3655,0.3436,2.0,0.0
1252.0,150.7282104,2.8281071,22.1796093,0.41676,0.5245,0.58324,2.0,0.0
1253.0,150.7196198,2.777391,21.2605953,0.49290999999999996,0.795,0.50709,2.0,0.0
1254.0,150.7198792,2.7786429,21.3286457,0.44674,0.936,0.55326,2.0,0.0
1255.0,150.7266846,2.808697,18.9047985,0.68739,0.735,0.31261,1.0,0.0
1259.0,150.7233124,2.7854359,22.1918163,0.85914,0.444,0.14086,2.0,0.0
1260.0,150.7246704,2.7890451,21.5642223,0.5183599999999999,0.661,0.48164,2.0,0.0
1264.0,150.7324677,2.8259571,18.2857933,0.60065,0.9025,0.39935,2.0,0.0
1266.0,150.726532,2.79527,22.0714855,0.6435299999999999,0.5525,0.35647,2.0,0.0
1268.0,150.7258759,2.7901931,22.4774361,0.5971500000000001,0.5285,0.40285,2.0,0.0
1274.0,150.7245789,2.776628,22.4620438,0.60162,0.337,0.39838,2.0,0.0
1278.0,150.7246399,2.773941,20.896553,0.39464,0.7095,0.60536,2.0,0.0
1279.0,150.7290344,2.7986131,21.4416103,0.63077,0.2185,0.36923,2.0,0.0
1282.0,150.7345886,2.8279109,22.513279,0.87283,0.172,0.12717,2.0,0.0
1285.0,150.729599,2.796262,22.3295879,0.62973,0.5225,0.37027,2.0,0.0
1289.0,150.7280579,2.785352,22.1272449,0.23967000000000005,0.9865,0.76033,2.0,0.0
1293.0,150.7286377,2.7793911,20.6792412,0.70285,0.484,0.29715,2.0,0.0
1295.0,150.7306366,2.7880919,21.8419685,0.5415099999999999,0.6455,0.45849,2.0,0.0
1296.0,150.7365112,2.821209,22.1661854,0.8144899999999999,0.267,0.18551,2.0,0.0
1305.0,150.7355804,2.797142,20.5760231,0.6986600000000001,0.8365,0.30134,3.0,0.0
1306.0,150.7386932,2.8140299,22.1605587,0.39898,0.702,0.60102,2.0,0.0
1310.0,150.7401428,2.8171389,21.2208366,0.26364,1.1339999,0.73636,2.0,0.0
1313.0,150.7331696,2.775234,21.1461697,0.47618000000000005,0.5465,0.52382,2.0,0.0
1315.0,150.7339325,2.7773571,21.7771835,0.33214,0.367,0.66786,2.0,0.0
1316.0,150.7419281,2.8165259,19.8644314,0.80734,1.0779999,0.19266,3.0,0.0
1317.0,150.7421265,2.8171201,20.9002934,0.64537,0.2605,0.35463,3.0,0.0
1333.0,150.6860199,2.81071,19.6581135,0.42832000000000003,0.618,0.57168,2.0,0.0
1336.0,150.6890106,2.8305149,21.8682747,0.7102299999999999,0.822,0.28977,2.0,0.0
1338.0,150.6839752,2.8033249,21.6060295,0.44767,0.6735,0.55233,2.0,0.0
1341.0,150.681076,2.7889309,22.0922699,0.72763,0.1975,0.27237,2.0,0.0
1344.0,150.6838074,2.8082809,21.4429989,0.6689700000000001,0.1435,0.33103,2.0,0.0
1345.0,150.6843109,2.8120849,20.0486984,0.50705,0.659,0.49295,2.0,0.0
1351.0,150.6813049,2.805918,21.2081223,0.29369,0.5545,0.70631,2.0,0.0
1353.0,150.67836,2.791131,21.4939346,0.79972,0.3005,0.20028,2.0,0.0
1354.0,150.6812897,2.810472,22.0913906,0.5313,0.3385,0.4687,2.0,0.0
1355.0,150.6787567,2.7973919,22.1389599,0.775,0.332,0.225,2.0,0.0
1356.0,150.683075,2.82252,22.4279118,0.33720000000000006,0.661,0.6628,2.0,0.0
1357.0,150.6763611,2.784554,22.8512173,0.39919000000000004,0.532,0.60081,2.0,0.0
1361.0,150.680954,2.8168869,21.7606125,0.45465999999999995,0.7775,0.54534,2.0,0.0
1363.0,150.6759338,2.791256,21.9840336,0.57711,0.405,0.42289,2.0,0.0
